formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max
8a0384b491502874019153e2d6701a7a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Gorontalo,1,1,2785700,9024448
8a0384b49150287401915417932730c9,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jambi,2,1,2785700,9024448
8a0384b4915028740191542557c53a3f,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Barat,2,1,2785700,9024448
8a0384b4915028740191542f15374326,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Utara,2,1,2785700,9024448
8a0384b49150287401915437d21e4d3a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Selatan,1,1,2785700,9024448
8a0384b4915028740191543ec24d5473,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Barat,2,1,2785700,9024448
8a0384b491502874019154479eb56161,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Utara,2,1,2785700,9024448
8a018692915486670191555b9b8b2228,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,PUTRA/PUTRI KALIMANTAN,PENGELOLA PENGADAAN BARANG/JASA AHLI PERTAMA,BKKBN Pusat,2,1,2785700,9024448
8a028492914fb63b01914fca028f1ab6,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENGELOLA PENGADAAN BARANG/JASA AHLI PERTAMA,BKKBN Pusat,36,1,2785700,9024448
8a01869291548667019154b712642868,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Timur,13,1,2785700,9024448
8a01869291548667019154bdcb8b3245,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Barat,2,1,2785700,9024448
8a01869291548667019154c6309c411d,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Tengah,16,1,2785700,9024448
8a01869291548667019154c97b3247c2,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Tengah,7,1,2785700,9024448
8a01869291548667019154df2454727f,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Timur,1,1,2785700,9024448
8a01869291548667019154e6e5107f3e,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kepulauan Bangka Belitung,9,1,2785700,9024448
8a01869291548667019154e9017104bb,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Riau,7,1,2785700,9024448
8a01869291548667019154ecbac60e49,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kepulauan Riau,4,1,2785700,9024448
8a01869291548667019154ef9d5213a4,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua Barat,1,1,2785700,9024448
8a01869291548667019154f812ca200b,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua,3,1,2785700,9024448
