formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_max,gaji_min
8a0384b491502874019151489c1b3c35,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Aceh,1,1,9024448,2785700
8a0384b491502874019151528c563d8a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Bali,1,1,9024448,2785700
8a0384b491502874019153945cfb653e,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Banten,1,1,9024448,2785700
8a0384b4915028740191539a86f569c9,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Bengkulu,1,1,9024448,2785700
8a0384b491502874019153c3e82a0b31,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi D.I Yogyakarta,1,1,9024448,2785700
8a0384b491502874019153df834d193a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Gorontalo,1,1,9024448,2785700
8a0384b491502874019154156f0f2fa9,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Jambi,1,1,9024448,2785700
8a0384b49150287401915422924d3851,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Barat,1,1,9024448,2785700
8a0384b4915028740191542a791a3e98,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Utara,1,1,9024448,2785700
8a0384b4915028740191543432c3497d,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Selatan,1,1,9024448,2785700
8a0384b4915028740191543b5d9d509b,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Barat,1,1,9024448,2785700
8a01869291548667019154aeb5d91f5a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Tengah,2,1,9024448,2785700
8a01869291548667019154b5e65c2775,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Timur,1,1,9024448,2785700
8a01869291548667019154bcc9fa2ff8,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Barat,3,1,9024448,2785700
8a01869291548667019154bd474f3089,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Tenggara,2,1,9024448,2785700
8a01869291548667019154c29cce3c27,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Selatan,2,1,9024448,2785700
8a01869291548667019154c52e9b3faf,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Tengah,2,1,9024448,2785700
8a01869291548667019154c83fad4516,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Tengah,2,1,9024448,2785700
8a01869291548667019154d0423a558d,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Selatan,1,1,9024448,2785700
8a01869291548667019154de4c867046,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Timur,2,1,9024448,2785700
8a01869291548667019154e1e6d376ff,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Barat,1,1,9024448,2785700
8a01869291548667019154e59f5d7dcb,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kepulauan Bangka Belitung,3,1,9024448,2785700
8a01869291548667019154e7c20301db,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Riau,1,1,9024448,2785700
8a01869291548667019154ebbeda0bf1,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kepulauan Riau,3,1,9024448,2785700
8a01869291548667019154ee8d25115e,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua Barat,3,1,9024448,2785700
8a01869291548667019154f5a5a11c41,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Lampung,2,1,9024448,2785700
8a01869291548667019154f6f2751e0b,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua,3,1,9024448,2785700
8a01869291548667019154fa84df2446,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Maluku,3,1,9024448,2785700
8a018692915486670191550026e82ebb,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Nusa Tenggara Timur,3,1,9024448,2785700
8a0186929154866701915500c3742fdd,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Maluku Utara,3,1,9024448,2785700
8a0186929154866701915505c9873935,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Nusa Tenggara Barat,2,1,9024448,2785700
8a0186929154866701915548f57d7e3a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Tengah,1,1,9024448,2785700
8a01869291548667019155495d7a7f8b,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Barat,1,1,9024448,2785700
8a0186929154866701915549ea7a0201,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Timur,1,1,9024448,2785700
